,MAPE,RMSE,R2
S0000153_Trường Tiểu học Trần Quốc Toản.csv,1.0799474716186523,15.259286880493164,-0.5540227890014648
S0000346_Định Công.csv,0.810666561126709,15.329917907714844,-0.3636746406555176
S0000229_Quan Hoa.csv,0.8870172500610352,15.267769813537598,-0.3444772958755493
S0000339_Kim Mã.csv,0.7424646019935608,15.18282699584961,-0.43710172176361084
S0000310_Hàng Trống.csv,1.057945728302002,13.945698738098145,-0.48811018466949463
